tissue	cell_type_major	cell_type_minor	cell_type_subset	exp	markers
Immune	Myeloid cell	Macrophage	common	pos	"Cd80,Cd86,Ccr5,Itgam,Itgax,Cd14,Fut4,Cd68,Cd163,Adgre1,Fcgr1,Fcgr2b,Fcgr3,Lgals3,Tnfsf18,H2-Ea,H2-Eb1,H2-Eb2,Itgal,Lamp2,Lilrb4a,Lilrb4b,Csf1r,H2-Aa,H2-Ab1,H2-DMa,H2-DMb1,H2-DMb2,H2-Oa,H2-Ob,Cd33,Tlr2,Tlr4"
Immune	Myeloid cell	Macrophage	Macrophage (M1)	pos	"Cd80,Cd86,Cd36,Cd68,Fcgr2b,Fcgr3,Ifngr1,Ifngr2,H2-Aa,H2-Ab1,H2-DMa,H2-DMb1,H2-DMb2,H2-Ea,H2-Eb1,H2-Eb2,H2-Oa,H2-Ob,Ptgs2,NOS2,Irf5,Stat1"
Immune	Myeloid cell	Macrophage	Macrophage (M1)	neg	Cd163
Immune	Myeloid cell	Macrophage	Macrophage (M1)	sec	"Ccl2.Ccl3.Ccl4.Ccl5,Ccl8,Ccl11,Ccl6,Ccl19,Ccl20,Cxcl1,Cxcl2,Cxcl3,Cxcl5,Cxcl8,Cxcl9,Cxcl10,Cxcl11,Cxcl13,Cxcl16,Cx3cl1,Il1b,Il6,Il12b,Il15,Il17a,Il18,Il23a,Ifng,Tnf"
Immune	Myeloid cell	Macrophage	Macrophage (M2A)	pos	"Cd163,Cd200r1,Clec10a,Cxcr1,Cxcr2,Cd209a,Cd209b,Cd209c,Cd209d,Cd209e,Clec7a,Fcer1a,Il1r2,Il4ra,H2-Aa,H2-Ab1,H2-DMa,H2-DMb1,H2-DMb2,H2-Oa,H2-Ob,Mrc1,"
Immune	Myeloid cell	Macrophage	Macrophage (M2A)	sec	"Ccl1,Ccl2,CCl14,Ccl17,Ccl18,Ccl22,Ccl24,Ccl26,Retnla,Il1r1,Il10,Il12b,Tgfb1,Tgfb2,Tgfb3,Chil3"
Immune	Myeloid cell	Macrophage	Macrophage (M2B)	pos	"Cd86,Il4ra,H2-Aa,H2-Ab1,H2-DMa,H2-DMb1,H2-DMb2,H2-Ea,H2-Eb1,H2-Eb2,H2-Oa,H2-Ob,Ptgs2,Irf4,Socs3,Sphk1,Sphk2"
Immune	Myeloid cell	Macrophage	Macrophage (M2B)	sec	"Ccl1,Ccl20,Cxcl1,Cxcl2,Cxcl3,Csf3,Csf2,Il1b,Il6,Il10,Tnf"
Immune	Myeloid cell	Macrophage	Macrophage (M2C)	pos	"Ccr2,Slamf1,Cd163,Il4ra,Mrc1,Msr1,Scarb1,Tlr1,Arg1,Irf4,Socs3,Tlr8"
Immune	Myeloid cell	Macrophage	Macrophage (M2C)	sec	"Ccl16-ps,Cxcl13,Il10,Tgfb1,Tgfb2,Tgfb3"
Immune	Myeloid cell	Macrophage	Macrophage (M2D)	pos	Nos2
Immune	Myeloid cell	Macrophage	Macrophage (M2D)	sec	"Ccl5,Cxcl10,Cxcl16,Il10,Il12b,Tnf,Vegfa"
Immune	Myeloid cell	Monocyte	Monocyte	pos	"Itgam,Ly6c1,Csf1r,Ccr2,Cx3cr1,Itgax,Adgre1,Itga2,Sell,S100a8,Fcgr3a,Fcgr2a,Pecam1,Cd44,Ptprc,Vegfa,Spn"
Immune	Myeloid cell	Dendritic cell	DC (Classical)	pos	"Cd80,Cd86,Cd4,Cd8a,Itgam,Itgax,Cd40,Ptprc,Cd83,Itgae,Clec9a,Cx3cr1,Cd209a,Cd209b,Cd209c,Cd209d,Cd209e,Ly75,Epcam,Adgre1,Fcgr1,Cadm1,Cd207,Ly6c1,H2-Aa,H2-Ab1,H2-DMa,H2-DMb1,H2-DMb2,H2-Ea,H2-Eb1,H2-Eb2,H2-Oa,H2-Ob,Sirpa,Xcr1"
Immune	Myeloid cell	Dendritic cell	DC (Plasmacytoid)	pos	"Ptprc,Bst2,Itgax,Clec9a,Cd209a,Cd209b,Cd209c,Cd209d,Cd209e,Ly6c1,Ly6c2,H2-Aa,H2-Ab1,H2-DMa,H2-DMb1,H2-DMb2,H2-Ea,H2-Eb1,H2-Eb2,H2-Oa,H2-Ob,Siglech,Sirpa,Tcf4,Irf7,Irf8,Spib,Tlr7,Tlr9"
Immune	Myeloid cell	Dendritic cell	DC (Plasmacytoid)	neg	"Cd3d,Cd3e,Cd3g,Cd5,Itgam,Cd19,Ly6g,Ly76,Itgam,Itga2"
Immune	Myeloid cell	Dendritic cell	DC (Plasmacytoid)	sec	"Ifna,Ifnb,Il6,Tnf"
Immune	Myeloid cell	Dendritic cell	DC (Inflammatory)	pos	"Itgam,Itgax,Lamp2,Cd209a,Cd209b,Cd209c,Cd209d,Cd209e,Adgre1,Fcgr1,Fcer1a,Ly6c1,H2-Aa,H2-Ab1,H2-DMa,H2-DMb1,H2-DMb2,H2-Ea,H2-Eb1,H2-Eb2,H2-Oa,H2-Ob,Mrc1"
Immune	Myeloid cell	Dendritic cell	DC (Inflammatory)	neg	"Cd3d,Cd3e,Cd3g,Cd5,Itgam,Cd19,Ly6g,Ly76"
Immune	Myeloid cell	Dendritic cell	DC (Inflammatory)	sec	"Il12,Nos1,Tnf"
Immune_ext	Myeloid cell	MDSC	MDSC (Granulocytic)	pos	"Itgam,Cd244a,Il4ra,Ly6g,Csf1r"
Immune_ext	Myeloid cell	MDSC	MDSC (Granulocytic)	neg	"Itgax,Itga4,H2-Aa,H2-Ab1,H2-DMa,H2-DMb1,H2-DMb2,H2-Ea,H2-Eb1,H2-Eb2,H2-Oa,H2-Ob"
Immune_ext	Myeloid cell	MDSC	MDSC (Granulocytic)	sec	"Il10,Mmp9,Tgfb1,Vegfa"
Immune_ext	Myeloid cell	MDSC	MDSC (Monocytic)	pos	"Ccr2,Itgam,Adgre1,Il4ra,Itga4,Ly6c1,Csf1r"
Immune_ext	Myeloid cell	MDSC	MDSC (Monocytic)	neg	"Itgax,H2-Aa,H2-Ab1,H2-DMa,H2-DMb1,H2-DMb2,H2-Ea,H2-Eb1,H2-Eb2,H2-Oa,H2-Ob"
Immune_ext	Myeloid cell	MDSC	MDSC (Monocytic)	sec	"Il10,Mmp9,Tgfb1,Vegfa"
Immune	Mast cell	Mast cell	Mast cell	pos	"Cd34,Ptprc,Kit,Cd200r1,Enpp3,Fcer1a,Il3ra,Itgb7,Mitf,Cd33,Gata2,Tpsb2,Tpsab1,Milr1,Cma1,Edn1,Hrh4,Il27ra,Lxn,Mcpt1,Mcpt6,Mcemp1,Pag1,Plscr1,Srgn,Tpsab1,Tpsb2"
Immune	Mast cell	Mast cell	Mast cell	neg	"Itgam,Itgax,Itga2"
Immune_ext	Granulocyte	Basophil	Basophil	pos	"Ccr3,Ptprc,Cd69,Cd200R1,Ptgdr2,Enpp3,Fcer1a,IL3RA,Itga2,Itga2b,Cd164,Anpep,Cd24,Cd33,Spn,Cd44,Ptprc,Icam1,Cd63,Lamp1,Cd164,Ccr4,Siglec8,Tlr4,Thy1"
Immune_ext	Granulocyte	Basophil	Basophil	neg	"Itgax,Kit,Itgb7,Cd3d,Cd3e,Cd3g,Fcer2"
Immune_ext	Granulocyte	Eosinophil	Eosinophil	pos	"Ccr3,Itgam,Ptprc,Adgrf4,Il5ra,Itga4,Siglec5,Anpep,Ccr1,Cd34,Cd4,Cd44,Cd48,Cd58,Cd63,Cd69,Cd80,Cd81,Cd86,Ceacam8,Cebp,Cr1,Cxcr2,Cxcr3,Cysltr1,Fcar,Fcgr3a,Gata1,Icam1,Il17ra,Il3ra,Il5ra,Itgal,Itgax,Itgb1,Itgb2,Klrb1,Lta,Ltb4r,Sell,Selp,Selplg,SpI1,Tlr2,Tlr4,Tlr9,Tnf,Tnfrsf9,Id1"
Immune_ext	Granulocyte	Eosinophil	Eosinophil	neg	"Fcgr3a,Ly6g6d,Csf1r"
Immune_ext	Granulocyte	Eosinophil	Eosinophil	sec	"Ccl11,Ccl24,Ccl26,Csf2,Cxcl8,Ifng,Il13,Il3,Il33,Il4,Il5,Il6,Mmp9"
Immune_ext	Granulocyte	Neutrophil	Neutrophil	pos	"Itgam,Ptprc,Ly6g6D,Itgb2,Siglec5,Arg1,Ccr7,Cd14,Cd15,Cd177,Cd24,Cd33,Cd47,Cd63,Cd86,Ceacam8,Cxcr1,Cxcr2,Cxcr4,Elane,Fcgr3a,Flt1,Icam1,Il17ra,Itga4,Itgax,Mme,Olfm4,Pecam1,Prtn3,Sell,Spn,Tlr2,Tlr4,Tlr5,Tlr7,Tlr8,Tlr9,S100a8"
Immune_ext	Granulocyte	Neutrophil	Neutrophil	neg	"Adgrf4,Csf1r"
Epithelium	Epithelial cell	Epithelial cell	Epithelial cell	pos	"Muc1,Epcam,Ddr1,Cadm4,Mst1r,Klf5,Krt18,Krt19,Cldn1,Cldn3,Cldn4,Cldn12"
Endothelium	Endothelial cell	Endothelial cell	Endothelial cell	pos	"Cd300lg,Cd34,Cdh5,Egfl7,Emcn,Esam,Flt1,Flt4,Kdr,Mcam,Podxl,S1pr1,Sele,Selp,Tek,Thsd1,Thsd7a,Vcam1,Vegfc,Vwf"
Stromal	Fibroblast	Fibroblast	Fibroblast	pos	"Acta2,Col1a1,Col1a2,Col5a1,Fap,Fbln1,Fbln2,Loxl1,Lum,Pdgfra,Thy1"
Stromal	Fibroblast	Fibroblast	Fibroblast	neg	Epcam
Stromal	Smooth muscle cell	Smooth muscle cell	Smooth muscle cell	pos	"Acta2,Actg2,Cald1,Cnn1,Des,Emilin2,Hexim1,Hrh2,Lgr5,Lgr6,Myh11,Myl9,Notch3,Tagln,Mcam,Tpm2"
